Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada de Produção de Biometano (m³/d),Capacidade Processamento de Biogás(m³/d),Volume Processado de Biogás (m³/d),Volume Processado/Capacidade (%) 
02/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"184478,000",61
02/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"18224,000",30
01/2023,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"406630,000",85
01/2023,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"2,000",0
01/2023,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"12994,000",42
01/2023,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"171498,000",57
01/2023,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"15552,000",26
12/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"417237,000",87
12/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"3,000",0
12/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"13629,000",44
12/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"167111,000",56
12/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"13892,000",23
11/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"432929,000",90
11/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"1,000",0
11/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"14097,000",46
11/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"169476,000",56
11/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"4486,000",7
10/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"450798,000",94
10/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"0,000",0
10/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"11452,000",37
10/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"150551,000",50
10/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"20370,000",34
09/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"426450,000",89
09/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"0,000",0
09/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"12365,000",40
09/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"154725,000",52
09/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"10105,000",17
08/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"413848,000",86
08/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"2,000",0
08/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"1775,000",6
08/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"152957,000",51
08/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"4471,000",7
07/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"394781,000",82
07/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"0,000",0
07/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"0,000",0
07/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"176830,000",59
07/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"3903,000",7
06/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
06/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"12417,000",40
06/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"183303,000",61
06/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
06/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
05/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"387139,000",81
05/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"19043,000",62
05/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"186861,000",62
05/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
04/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"385875,000",80
04/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"18750,000",61
04/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"193729,000",65
04/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
03/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
03/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"15141,000",49
03/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"165036,000",55
03/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
02/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
02/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"0,000",0
02/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"177441,000",59
02/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
01/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
01/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"6985,000",23
01/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"150839,000",50
01/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
12/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
12/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"22140,000",72
12/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"70600,000",24
12/2021,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
11/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
11/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"18685,000",61
11/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"165776,000",55
11/2021,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
10/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"382845,000",80
10/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"17215,000",56
10/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"172096,000",57
10/2021,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
09/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
09/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"17187,000",56
09/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"166538,000",56
09/2021,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"0,000",0
08/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
08/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"16782,000",55
08/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"165935,000",55
07/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"373876,000",78
07/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"17077,000",56
07/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"149591,000",50
06/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
06/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"11301,000",37
06/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"158044,000",53
05/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
05/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"10384,000",34
05/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"163821,000",55
04/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"365089,000",76
04/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"11295,000",37
04/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"156390,000",52
03/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"336000,000",70
03/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"11646,000",38
03/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"145712,000",49
02/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"336000,000",70
02/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"10993,000",36
02/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"117918,000",39
01/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"203886,000",42
01/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"13078,000",43
01/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"125489,000",42
12/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"306247,000",64
12/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"13909,000",45
12/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"130913,000",44
11/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"316415,000",66
11/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"7481,000",24
11/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"131997,000",44
10/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"438349,000",91
10/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"6157,000",20
10/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"141787,000",47
09/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"445679,000",93
09/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"15012,000",49
09/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"142905,000",48
08/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"440390,000",92
08/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"11617,000",38
08/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"63111,000",21
07/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"346828,000",72
07/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"16000,00",30672,"6172,000",20
07/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"71574,000",24
06/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"159050,000",53
05/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"169025,000",56
04/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"166974,000",56
03/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"176273,000",59
02/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"170631,000",57
01/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"171950,000",57
